Tanoo,坦欧
Sasiekko,萨塞克
Myyhera,麦伊赫拉
Gammel,加姆梅尔
Uusanen,乌萨勒恩
Erkinen,厄尔基尼
Saikamon,塞卡蒙
Jarkkolen,加尔克楞
Ronne,罗尼
Hatori,哈托里
Junsen,君森
Malpara,马尔帕拉
Hakodan,哈克坦
Sahtogas,萨托加斯
Haras,哈拉斯
Oyonata,欧约纳塔
Kurniainen,库尔尼埃能
Saidusairos,塞杜萨瑞斯
Tannakan,坦纳坎
Komaa,科马尔
Ayeroilen,埃耶罗伊勒
Imata,伊马塔
Furskeshin,福尔斯可辛
Kurmaru,库尔玛鲁
Satalama,萨塔拉马
VYJ-DA,VYJ-DA
HHQ-M1,HHQ-M1
A-CJGE,A-CJGE
G2-INZ,G2-INZ
WAC-HW,WAC-HW
HT4K-M,HT4K-M
RBW-8G,RBW-8G
4-OUKF,4-OUKF
HAJ-DQ,HAJ-DQ
JAUD-V,JAUD-V
DTX8-M,DTX8-M
C9N-CC,C9N-CC
X-7BIX,X-7BIX
5-9UXZ,5-9UXZ
Q0OH-V,Q0OH-V
C-VZAK,C-VZAK
0-O6XF,0-O6XF
D-FVI7,D-FVI7
VL7-60,VL7-60
NH-R5B,NH-R5B
FN-GFQ,FN-GFQ
XKZ8-H,XKZ8-H
WX-6UX,WX-6UX
BZ-0GW,BZ-0GW
16P-PX,16P-PX
CR-0E5,CR-0E5
Z-Y9C3,Z-Y9C3
A1-AUH,A1-AUH
F-UVBV,F-UVBV
R-FM0G,R-FM0G
TEIZ-C,TEIZ-C
VUAC-Y,VUAC-Y
V-XANH,V-XANH
450I-W,450I-W
OIOM-Y,OIOM-Y
G-YZUX,G-YZUX
CZ6U-1,CZ6U-1
D-PNP9,D-PNP9
E1UU-3,E1UU-3
P-3XVV,P-3XVV
BY-MSY,BY-MSY
6EK-BV,6EK-BV
IR-FDV,IR-FDV
NIZJ-0,NIZJ-0
J-RVGD,J-RVGD
V1ZC-S,V1ZC-S
H-T40Z,H-T40Z
6-TYRX,6-TYRX
Q1-R7K,Q1-R7K
111-F1,111-F1
JD-TYH,JD-TYH
02V-BK,02V-BK
A5MT-B,A5MT-B
R-ARKN,R-ARKN
SN9S-N,SN9S-N
MS2-V8,MS2-V8
Z-MO29,Z-MO29
G-JC9R,G-JC9R
DIBH-Q,DIBH-Q
DNEP-Y,DNEP-Y
YAP-TN,YAP-TN
PE-H02,PE-H02
H-YHYM,H-YHYM
G-4H4C,G-4H4C
HHE5-L,HHE5-L
P9F-ZG,P9F-ZG
QFGB-E,QFGB-E
7P-J38,7P-J38
WT-2J9,WT-2J9
PK-PHZ,PK-PHZ
L-M6JK,L-M6JK
C-PEWN,C-PEWN
DL-CDY,DL-CDY
29YH-V,29YH-V
LG-RO2,LG-RO2
X-HISR,X-HISR
QS-530,QS-530
VR-YRV,VR-YRV
IPX-H5,IPX-H5
KSM-1T,KSM-1T
YRV-MZ,YRV-MZ
6SB-BN,6SB-BN
B1D-KU,B1D-KU
QFIU-K,QFIU-K
2R-KLH,2R-KLH
QB-AE6,QB-AE6
G-W1ND,G-W1ND
MZLW-9,MZLW-9
ND-X7X,ND-X7X
DGDT-3,DGDT-3
2-WNTD,2-WNTD
83-YGI,83-YGI
KH-EWC,KH-EWC
3VL6-I,3VL6-I
F-816R,F-816R
DS3-6A,DS3-6A
V0-H4L,V0-H4L
T-HMWP,T-HMWP
DYS-CG,DYS-CG
MTGF-2,MTGF-2
0-QP56,0-QP56
GTQ-C9,GTQ-C9
M-NWLB,M-NWLB
ORB4-J,ORB4-J
GGMF-J,GGMF-J
IG-4OF,IG-4OF
LQQH-J,LQQH-J
W5-VBR,W5-VBR
J-D5U7,J-D5U7
Y-770C,Y-770C
X-Z4JW,X-Z4JW
R8WV-7,R8WV-7
6U-MFQ,6U-MFQ
1EO-OE,1EO-OE
YQTK-R,YQTK-R
FZCR-3,FZCR-3
5-9L3H,5-9L3H
1-HDQ4,1-HDQ4
WVMS-X,WVMS-X
7-UVMT,7-UVMT
R-ZESX,R-ZESX
IO-R2S,IO-R2S
HF-K3O,HF-K3O
QE2-FS,QE2-FS
Q-ITV5,Q-ITV5
5JEZ-I,5JEZ-I
XEF6-Z,XEF6-Z
SON-TW,SON-TW
V-X0KM,V-X0KM
U9SE-N,U9SE-N
XXZ-3W,XXZ-3W
RF-X7V,RF-X7V
BQ0-UU,BQ0-UU
3-JG3X,3-JG3X
GK3-RX,GK3-RX
1P-QWR,1P-QWR
FJ-GUR,FJ-GUR
UGR-J2,UGR-J2
QZ-DIZ,QZ-DIZ
Y-0HVF,Y-0HVF
21M1-B,21M1-B
KED-2O,KED-2O
U-RELP,U-RELP
IAMJ-Q,IAMJ-Q
E6Q-LE,E6Q-LE
HO4E-Q,HO4E-Q
QY2Y-N,QY2Y-N
X-9ZZR,X-9ZZR
RO-AIQ,RO-AIQ
VZEG-B,VZEG-B
P-ZWKH,P-ZWKH
9G5J-1,9G5J-1
B-ETDW,B-ETDW
0PU2-R,0PU2-R
XM-RMD,XM-RMD
91-KD8,91-KD8
OZ-DS5,OZ-DS5
LA2-KV,LA2-KV
WW-OVQ,WW-OVQ
S7WI-F,S7WI-F
1-BK1Q,1-BK1Q
X-CYNC,X-CYNC
RJBC-I,RJBC-I
H-MHWF,H-MHWF
PND-SI,PND-SI
XKM-DE,XKM-DE
JXQJ-B,JXQJ-B
Y-BIPM,Y-BIPM
QYT-X8,QYT-X8
5-IH57,5-IH57
MHC-R3,MHC-R3
F67E-Q,F67E-Q
6E-578,6E-578
Poitot,波伊托特
ZVN5-H,ZVN5-H
ATY-2U,ATY-2U
X-BV98,X-BV98
2X-PQG,2X-PQG
FD-MLJ,FD-MLJ
PF-346,PF-346
X-M2LR,X-M2LR
K5-JRD,K5-JRD
6-CZ49,6-CZ49
EZA-FM,EZA-FM
8-JYPM,8-JYPM
PVH8-0,PVH8-0
M2-CF1,M2-CF1
JH-M2W,JH-M2W
PC9-AY,PC9-AY
T22-QI,T22-QI
X-PYH5,X-PYH5
ZN0-SR,ZN0-SR
5-DSFH,5-DSFH
AK-QBU,AK-QBU
QWF-6P,QWF-6P
AAS-8R,AAS-8R
V4-L0X,V4-L0X
PFP-GU,PFP-GU
0EK-NJ,0EK-NJ
1-NKVT,1-NKVT
UM-Q7F,UM-Q7F
T-LIWS,T-LIWS
KTHT-O,KTHT-O
97X-CH,97X-CH
5-T0PZ,5-T0PZ
6R-PWU,6R-PWU
2Q-I6Q,2Q-I6Q
A-ZLHX,A-ZLHX
UTKS-5,UTKS-5
Y9G-KS,Y9G-KS
I-YGGI,I-YGGI
VV-VCR,VV-VCR
5-75MB,5-75MB
IIRH-G,IIRH-G
35-RK9,35-RK9
XS-XAY,XS-XAY
DP34-U,DP34-U
617I-I,617I-I
6-U2M8,6-U2M8
I0AB-R,I0AB-R
MXYS-8,MXYS-8
A-3ES3,A-3ES3
8V-SJJ,8V-SJJ
5-FGQI,5-FGQI
3KNK-A,3KNK-A
TXW-EI,TXW-EI
3MOG-V,3MOG-V
NG-C6Y,NG-C6Y
XYY-IA,XYY-IA
BMNV-P,BMNV-P
BY-S36,BY-S36
31-MLU,31-MLU
0LTQ-C,0LTQ-C
A9D-R0,A9D-R0
2P-4LS,2P-4LS
RF-GGF,RF-GGF
LSC4-P,LSC4-P
A-SJ8X,A-SJ8X
10UZ-P,10UZ-P
EN-VOD,EN-VOD
9GYL-O,9GYL-O
VLGD-R,VLGD-R
S-GKKR,S-GKKR
9U-TTJ,9U-TTJ
Y-W6GF,Y-W6GF
KFR-ZE,KFR-ZE
KLYN-8,KLYN-8
D85-VD,D85-VD
5-VKCN,5-VKCN
U0V6-T,U0V6-T
5KS-AB,5KS-AB
0T-AMZ,0T-AMZ
57-YRU,57-YRU
4L-E5P,4L-E5P
UFXF-C,UFXF-C
RLL-9R,RLL-9R
51-5XG,51-5XG
EF-F36,EF-F36
3-IN0V,3-IN0V
Z-QENW,Z-QENW
D-B7YK,D-B7YK
DUV-5Y,DUV-5Y
GRNJ-3,GRNJ-3
VSIG-K,VSIG-K
RSS-KA,RSS-KA
CIS-7X,CIS-7X
DCHR-L,DCHR-L
EU0I-T,EU0I-T
4-JWWQ,4-JWWQ
G-6SXJ,G-6SXJ
S-U8A4,S-U8A4
ZV-72W,ZV-72W
2G38-I,2G38-I
CY-ZLP,CY-ZLP
U4-Q2V,U4-Q2V
98Q-8O,98Q-8O
Arlulf,阿尔卢浮
Brundakur,部洛达库尔
Stirht,斯提尔特
Illuin,伊琉因
Nedegulf,内德古夫
Aldilur,奥迪鲁尔
Alf,阿尔夫
Eust,尤斯特
Flost,弗洛斯特
Todrir,托德里尔
Asgeir,艾格瑟尔
Evuldgenzo,伊乌登左
Ongund,奥古恩德
Jondik,乔迪克
Olbra,奥布拉
Altrinur,阿提努尔
Vilur,威尔乌尔
Reset,重置
Eygfe,伊戈菲
Eiluvodi,伊鲁沃底
Freatlidur,弗瑞特利杜
Roleinn,洛雷恩
Maturat,马图拉特
Bongveber,邦戈维贝尔
Anbald,安巴德
Vorsk,沃尔斯克
Hjortur,乔托尔
Egbonbet,伊戈伯特
Totkubad,托库巴德
Meimungen,梅蒙根
Agtver,艾格塔威尔
Datulen,达图伦
Situner,斯图尼尔
Tamekamur,塔梅卡姆尔
Evettullur,伊为图鲁尔
Leurtmar,略特玛
Ryddinjorn,莱丁乔尔
Arlek,阿尔勒克
Elgoi,伊尔戈伊
Eram,伊尔拉姆
Yrmori,伊尔默里
Aldagolf,阿尔达哥夫
Aldrat,奥德拉特
Urnhard,尤姆哈德
Hardbako,哈德巴克
Erstur,伊斯图尔
Fredagod,弗雷达加德
Libold,利伯德
Wirdalen,威尔达伦
Nein,尼恩
Enden,艾恩顿
Erstet,伊尔塞特
Anstard,安斯塔德
Osvestmunnur,奥斯威斯特诺
Hilfhurmur,希尔伐姆
Geffur,格夫尔
Oppold,欧泊德
Tratokard,塔托卡德
Lumegen,鲁美根
Gedugaud,吉杜加德
Polstodur,波斯杜尔
Hebisa,赫比撒
Tollus,托鲁斯
Ogoten,欧格特恩
Earled,艾尔勒的
Aderkan,艾德卡恩
Ansher,安歇尔
Earwik,伊尔维克
Finanar,芬纳尔
Moselgi,摩赛吉
Mateber,马特贝尔
Iluin,伊留恩
Ofage,欧法戈
Josekorn,乔瑟克恩
Nifflung,妮弗伦
Hakeri,哈克尔利
Oraekja,欧拉厄贾
Dantbeinn,坦特贝因
Irgrus,伊尔贵斯
Orduin,欧尔杜因
Engosi,因戈斯
Atonder,埃顿德尔
Hotrardik,霍塔迪克
Ridoner,瑞多尼尔
Klaevik,克拉维科
Lirerim,里尔利姆
Offikatlin,欧菲卡塔林
Diromitur,迪洛米图
Eldjaerin,伊尔亚林
Erlendur,伊尔伦杜
Aldik,埃迪克
Tabbetzur,塔贝茨尔
Eurgrana,尤加拉那
Frulegur,弗鲁勒古
Hroduko,霍杜科
Hodrold,霍多德
Odebeinn,欧德贝因
Konora,克挪腊
Erindur,伊林杜尔
Fahruni,法胡尔
Sahda,萨哈达
Naguton,纳古顿
Ealur,尤洱鲁尔
Shajarleg,莎迦尔勒
Basan,巴姗
Akila,埃基拉
Amod,阿莫德
Unefsih,乌尼西
Mista,密斯塔
Valmu,瓦尔姆
Sibot,希伯特
Andabiar,安达比尔
Kheram,客拉姆
Arbaz,阿尔巴茨
Penirgman,佩尼尔格曼
Chaven,查文
Khopa,科帕
Ashab,阿沙比
Orkashu,欧卡舒
Youl,尤洱
Ekid,厄基德
Raravoss,拉拉沃斯
Nakri,那奎利
Zaimeth,扎模什
Sharhelund,沙尔赫伦德
Mai,玛依
Sharji,沙尔基
Kudi,库迪
Bahromab,巴罗马布
Madirmilire,马蒂米里若
Niarja,米亚尔加
Fabum,发布恩
Saana,仙娜
Teshi,忒什
Sayartchen,萨亚尔臣
Gosalav,戈萨拉夫
Sorzielang,索尔泽兰
Somouh,索莫乌
Abaim,阿拜姆
Ides,埃德斯
Yeeramoun,耶尔拉蒙
Anila,安妮拉
Pedel,培德尔
Etav,伊塔
Saheri,萨赫利
Lahnina,拉妮拉
Mahrokht,马霍克特
Alkabsi,埃卡比斯
Sarum Prime,萨拉姆首星
Hama,哈玛
Irnal,伊那尔
Bagodan,巴戈丹
Murzi,穆尔茨
Chesoh,切索
Herila,赫利拉
Chemilip,彻米里普
Raravath,拉纳瓦斯
Hisoufad,西索法德
Jesoyeh,耶索耶
Hahda,哈达
Namaili,娜玛丽
Afivad,埃菲瓦德
Uzigh,乌兹格
Erzoh,洱左
Merz,梅尔茨
Miakie,米亚基
Sirkahri,斯卡利
Faswiba,法苏巴
Hayumtom,哈扬托姆
Zanka,赞喀
Galeh,伽勒
Yuhelia,逾赫利亚
Maiah,迈尔阿
Hamse,哈姆瑟
Barira,巴日拉
Lashkai,拉什凯
Zhilshinou,支什诺
Jaswelu,贾苏鲁
Ana,埃纳
Warouh,瓦若乌
Jambu,贾姆布
Bittanshal,比丹莎尔
Arton,阿尔通
Sieh,希尔拉
Madimal,马蒂玛尔
Mamet,玛美特
Hoshoun,霍朔恩
Biphi,拜法
Ziriert,泽利尔特
Misaba,米萨巴
Rephirib,勒非利布
Conomette,卡诺梅特
Aimoguier,埃莫古尔
Yveve,耶维
Meunvon,缪封
Cadelanne,卡德兰尼
Elore,伊尔罗
Anckee,安克尔
Vevelonel,维威农
Pertnineere,皮特涅尔
Boystin,波伊斯汀
Lour,罗乌尔
Maire,麦勒
Oerse,欧尔瑟
Octanneve,奥克坦尼维
Larryn,莱瑞因
Niballe,黎巴勒
Postouvin,波斯托温
Odinesyn,欧丁森
Weraroix,维拉罗克斯
Sarline,萨尔林
Aeter,爱伊提尔
Gererique,吉尔瑞克
Harner,哈尔列尔
Yvaeroure,耶尔瑞勒
Vecodie,维考迪
Arasare,阿拉撒热
Yvelet,耶维勒特
Lazer,拉泽尔
Stoure,赛通勒
Heluene,希伦尼
Arittant,埃里坦特
Oruse,奥瑞瑟
Hare,哈勒
Ogaria,奥贾瑞亚
Faurulle,法鲁里
Agaullores,埃加罗尔斯
Babirmoult,巴比尔莫特
Ratillose,拉提罗瑟
Ondree,昂卓耶
Pochelympe,波彻林佩
Eggheron,伊格横农
Toustain,托斯坦
Straloin,斯塔罗因
H1-ESN,H1-ESN
3DR-CR,3DR-CR
RLTG-3,RLTG-3
S-EVIQ,S-EVIQ
EOY-BG,EOY-BG
PNS7-J,PNS7-J
IG-ZAM,IG-ZAM
0-UVHJ,0-UVHJ
NCG-PW,NCG-PW
1QH-0K,1QH-0K
ZH3-BS,ZH3-BS
ZJ-QOO,ZJ-QOO
ZXA-V6,ZXA-V6
I1-BE8,I1-BE8
W8O-19,W8O-19
U1TX-A,U1TX-A
1BWK-S,1BWK-S
KMV-CQ,KMV-CQ
RKE-CP,RKE-CP
NV-3KA,NV-3KA
S-1LIO,S-1LIO
S-KSWL,S-KSWL
5-O8B1,5-O8B1
R-YWID,R-YWID
30-D5G,30-D5G
HB-FSO,HB-FSO
J1-KJP,J1-KJP
KW-1MV,KW-1MV
G06-8Y,G06-8Y
U-O2DA,U-O2DA
WV-0R2,WV-0R2
SZ6-TA,SZ6-TA
6-AOLS,6-AOLS
IKTD-P,IKTD-P
33CE-7,33CE-7
L-P3XM,L-P3XM
DCJ-ZT,DCJ-ZT
O36A-P,O36A-P
Z-LO6I,Z-LO6I
0M-103,0M-103
6OYQ-Z,6OYQ-Z
HE5T-A,HE5T-A
A-1IJ9,A-1IJ9
Y-YHZQ,Y-YHZQ
Z-SR1I,Z-SR1I
GW7P-8,GW7P-8
SF-XJS,SF-XJS
A1RR-M,A1RR-M
AR-5SY,AR-5SY
OE-4HB,OE-4HB
ZK-YQ3,ZK-YQ3
MZPH-W,MZPH-W
W0X-MG,W0X-MG
JI-1UQ,JI-1UQ
EN-GTB,EN-GTB
U5-XW7,U5-XW7
JSI-LL,JSI-LL
M-UC0S,M-UC0S
V7-MID,V7-MID
SY0W-2,SY0W-2
2-3Q2G,2-3Q2G
Q1U-IU,Q1U-IU
C-XNUA,C-XNUA
7D-PAT,7D-PAT
V-LDEJ,V-LDEJ
T-K10W,T-K10W
P-UCRP,P-UCRP
3-QYVE,3-QYVE
C8-CHY,C8-CHY
E-9ORY,E-9ORY
CR-IFM,CR-IFM
HHK-VL,HHK-VL
P-33KR,P-33KR
DO6H-Q,DO6H-Q
DW-T2I,DW-T2I
O-CNPR,O-CNPR
L-SCBU,L-SCBU
VRH-H7,VRH-H7
O1Y-ED,O1Y-ED
K4YZ-Y,K4YZ-Y
X36Y-G,X36Y-G
L-C3O7,L-C3O7
YKSC-A,YKSC-A
FIO1-8,FIO1-8
C-OK0R,C-OK0R
0-ARFO,0-ARFO
E9KD-N,E9KD-N
8W-OSE,8W-OSE
WQY-IQ,WQY-IQ
C4C-Z4,C4C-Z4
GME-PQ,ME-PQ
MPPA-A,MPPA-A
X5-UME,X5-UME
I-UUI5,I-UUI5
8QMO-E,8QMO-E
G-5EN2,G-5EN2
9-F0B2,9-F0B2
YWS0-Z,YWS0-Z
4B-NQN,4B-NQN
9UY4-H,9UY4-H
49GC-R,49GC-R
D-GTMI,D-GTMI
FSW-3C,FSW-3C
FX-7EM,FX-7EM
MH9C-S,MH9C-S
G7AQ-7,G7AQ-7
QBL-BV,QBL-BV
T-RPFU,T-RPFU
I7S-1S,I7S-1S
U-HYMT,U-HYMT
FC-3YI,FC-3YI
QR-K85,QR-K85
5IO8-U,5IO8-U
DP-JD4,DP-JD4
OXIY-V,OXIY-V
H6-CX8,H6-CX8
D61A-G,D61A-G
Shintaht,辛塔特
Y-MPWL,Y-MPWL
D-6WS1,D-6WS1
SI-I89,SI-I89
KBP7-G,KBP7-G
B-WPLZ,B-WPLZ
XHQ-7V,XHQ-7V
E-YCML,E-YCML
TU-O0T,TU-O0T
Y9-MDG,Y9-MDG
PI5-39,PI5-39
GN7-XY,GN7-XY
F-DTOO,F-DTOO
5KG-PY,5KG-PY
QO-SRI,QO-SRI
INQ-WR,INQ-WR
S9X-AX,S9X-AX
TU-RI6,TU-RI6
08Z-JJ,08Z-JJ
X-4WZD,X-4WZD
6-OQJV,6-OQJV
AY-YCU,AY-YCU
ZT-LPU,ZT-LPU
3GXF-U,3GXF-U
VKI-T7,VKI-T7
8P9-BM,8P9-BM
F-YH5B,F-YH5B
H-GKI6,H-GKI6
YQB-22,YQB-22
2-TEGJ,2-TEGJ
MVCJ-E,MVCJ-E
AY-24I,AY-24I
BK4-YC,BK4-YC
K1I1-J,K1I1-J
LF-2KP,LF-2KP
JEIV-E,JEIV-E
O-Y5JQ,O-Y5JQ
DNR-7M,DNR-7M
N-RMSH,N-RMSH
K1Y-5H,K1Y-5H
IWZ3-C,IWZ3-C
1-1I53,1-1I53
N8XA-L,N8XA-L
18-GZM,18-GZM
R3-K7K,R3-K7K
X-R3NM,X-R3NM
8B-VLX,8B-VLX
G-B22J,G-B22J
X6AB-Y,X6AB-Y
2V-CS5,2V-CS5
H9-J8N,H9-J8N
HP-6Z6,HP-6Z6
GA9P-0,GA9P-0
7YWV-S,7YWV-S
TXJ-II,TXJ-II
C1-HAB,C1-HAB
3KB-J0,3KB-J0
0B-HLZ,0B-HLZ
Z-RFE3,Z-RFE3
I-MGAB,I-MGAB
18XA-C,18XA-C
3D-CQU,3D-CQU
Agoze,埃格则
Intaki,印塔基
Brarel,布拉热
Vey,维耶
Annancale,阿南克勒
Ostingele,奥斯汀格勒
Harroule,哈洛勒
Stacmon,斯塔克蒙
Covryn,卡维因
Iges,埃格斯
Dastryns,达斯顿斯
Slays,斯雷斯
Uphallant,乌法兰特
Alperaute,阿尔皮劳特
Aunsou,奥索
Cumemare,卡梅玛尔
Reynire,瑞尼尔
Pain,佩恩
Gare,加勒
Pelille,佩里勒
Dour,朵儿
Grispire,吉斯拜尔
Brellystier,布瑞利斯迪尔
Vivanier,维瓦尼尔
Algasienan,阿加圣纳
Osmallanais,奥斯玛兰奈斯
Ivorider,伊沃莱德尔
Mollin,默林
Iffrue,伊弗尤尔
Vilinnon,维林论
Ommaerrer,欧玛依惹
Aulbres,奥布勒斯
Barleguet,巴尔勒归斯
Vestouve,维斯托维
Ausmaert,奥苏马特
Espigoure,厄斯皮格尔
Kenninck,克宁科
Archavoinet,埃察沃内特
Eugales,尤加勒斯
Frarie,弗拉烈
Aubenall,奥贝纳尔
Moclinamaud,莫克琳纳摩德
Renarelle,瑞纳惹勒
Orvolle,俄沃勒
Osmeden,奥斯梅登
Adacyne,挨达辛
Oulley,奥列
Chardalane,查尔达兰
Maut,毛特
Vlillirier,利里瑞尔
Aldranette,阿尔达然特
Oicx,奥伊瑟克斯
Evaulon,伊万伦
Anchauttes,安乔特斯
Alsavoinon,奥萨温伦
Esesier,伊瑟塞尔
Avaux,埃瓦奥克
Gallusiene,加鲁希恩
Ruerrotta,瑞罗塔
Hedoubel,赫多贝尔
Amoen,阿曼恩
Amasiree,阿玛西尔
Aubonnie,奥波涅
Alparena,阿尔帕伦纳
Reschard,瑞舒尔德
Arderonne,阿德罗尼
Mercomesier,梅尔克密西尔
Alamel,埃拉梅尔
Mantenault,曼特劳提
Athounon,埃托伦
Odamia,奥达米亚
Gousoviba,古索维巴
Neyi,尼伊
Kihtaled,基塔里德
Ipref,伊佩佛
Agil,埃基尔
Khanid Prime,卡尼迪首星
Jachanu,贾查努
Sazre,萨泽勒
Bukah,波卡
Ervekam,伊维卡姆
Mashtarmem,玛什塔蒙
Sehsasez,瑟尔萨瑟
Osis,奥塞斯
Geztic,各茨提克
Yezara,耶扎尔
Kahah,卡尔哈
Saloti,赛罗提
Hishai,细莎伊
Molea,莫利亚
Gidali,吉达利
Palas,帕拉斯
Safshela,萨夫舍拉
Reteka,勒特卡
Moniyyuku,蒙尼尤库
Lansez,兰瑟茨
Keberz,克博兹
Nourbal,诺尔巴
Arzanni,阿尔扎尼
Ashmarir,埃什马瑞尔
Kaira,凯拉
Badivefi,巴蒂维夫
Talidal,塔里达尔
Ashi,阿什伊
Tzashrah,查什拉
Efa,埃尔法
Moro,摩洛
Sabusi,撒布斯
Ainsan,艾恩山
Claini,克莱尼
Gehi,盖溪
Seshala,瑟什拉
Vezila,维兹拉
Ham,哈姆
Upt,尤普特
Hemouner,西莫尼尔
Afnakat,埃纳卡特
Col,科尔
Chamemi,查尔梅米
Firbha,费尔巴
Tegheon,特格隆
Bashyam,巴什雅姆
Parses,帕尔瑟斯
Balanaz,巴拉那茨
Edani,俄达尼
Danera,达尼拉
Bomana,波玛纳
Rahabeda,拉哈贝达
Aurejet,奥勒杰特
Rilera,利勒拉
Amafi,阿玛菲
Hakana,哈卡纳
Ashkoo,埃什库
Baratar,巴拉塔尔
Arzieh,阿茨厄
Nahrneder,纳赫米德尔
Nandeza,南德扎
Dimoohan,代莫罕
Chitiamem,齐提雅蒙
Kuhri,库里
Zahefeus,扎赫费尤斯
Zephan,泽法恩
Neda,勒达
Goudiyah,各乌迪亚
Sassecho,萨瑟克
Timudan,迪姆但
Ibani,伊巴尼
Cabeki,卡贝基
Irmalin,依尔玛琳
Nakis,那吉斯
Hezere,赫泽勒
Fanathor,法纳托尔
Zirsem,基尔瑟姆
Pout,博特
Rafeme,拉菲姆
A2-V27,A2-V27
T8H-66,T8H-66
A3-LOG,A3-LOG
7V-KHW,7V-KHW
O3L-95,O3L-95
0-WT2D,0-WT2D
7GCD-P,7GCD-P
G-3BOG,G-3BOG
K7D-II,K7D-II
L-6BE1,L-6BE1
1M4-FK,1M4-FK
V-LEKM,V-LEKM
9ES-SI,9ES-SI
UQY-IK,UQY-IK
60M-TG,60M-TG
0TKF-6,0TKF-6
TV8-HS,TV8-HS
VT-G2P,VT-G2P
YOP-0T,YOP-0T
9-HM04,9-HM04
MKD-O8,MKD-O8
GOP-GE,GOP-GE
SKR-SP,SKR-SP
V-3U8T,V-3U8T
T8T-RA,T8T-RA
A-BO4V,A-BO4V
W-IX39,W-IX39
K-B8DK,K-B8DK
L-6W1J,L-6W1J
P4-3TJ,P4-3TJ
K-Z0V4,K-Z0V4
LNVW-K,LNVW-K
8B-SAJ,8B-SAJ
Q2-N6W,Q2-N6W
C-9RRR,C-9RRR
A-5F4A,A-5F4A
P-ZMZV,P-ZMZV
9CG6-H,9CG6-H
NDII-Q,NDII-Q
UYU-VV,UYU-VV
K-L690,K-L690
W6V-VM,W6V-VM
OGY-6D,OGY-6D
8-SNUD,8-SNUD
H-4R6Z,H-4R6Z
IGE-NE,IGE-NE
UVHO-F,UVHO-F
Z-XX2J,Z-XX2J
YW-SYT,YW-SYT
Z-UZZN,Z-UZZN
DS-LO3,DS-LO3
BX2-ZX,BX2-ZX
RF-CN3,RF-CN3
C-7SBM,C-7SBM
ZAU-JW,ZAU-JW
YF-6L1,YF-6L1
K-YI1L,K-YI1L
KEJY-U,KEJY-U
3BK-O7,3BK-O7
8-GE2P,8-GE2P
QXQ-I6,QXQ-I6
L3-I3K,L3-I3K
3-JCJT,3-JCJT
W-IIYI,W-IIYI
AO-N1P,AO-N1P
4-GJT1,4-GJT1
5V-BJI,5V-BJI
49-U6U,49-U6U
M1BZ-2,M1BZ-2
N-M1A3,N-M1A3
8QT-H4,8QT-H4
F2OY-X,F2OY-X
4-2UXV,4-2UXV
RKM-GE,RKM-GE
DG-L7S,DG-L7S
K4-RFZ,K4-RFZ
L-FVHR,L-FVHR
3-FKCZ,3-FKCZ
ED-L9T,ED-L9T
LS-V29,LS-V29
9SBB-9,9SBB-9
I1Y-IU,I1Y-IU
U-HYZN,U-HYZN
8-YNBE,8-YNBE
YQX-7U,YQX-7U
QY1E-N,QY1E-N
E-VKJV,E-VKJV
BX-VEX,BX-VEX
B-7DFU,B-7DFU
ZXJ-71,ZXJ-71
F-NXLQ,F-NXLQ
ES-Q0W,ES-Q0W
H74-B0,H74-B0
NU4-2G,NU4-2G
3D5K-R,3D5K-R
1-3HWZ,1-3HWZ
XT-R36,XT-R36
5-MLDT,5-MLDT
B-DBYQ,B-DBYQ
QXW-PV,QXW-PV
DY-F70,DY-F70
FD53-H,FD53-H
O-ZXUV,O-ZXUV
77-KDQ,77-KDQ
F7C-H0,F7C-H0
TN-T7T,TN-T7T
1-NW2G,1-NW2G
O-IVNH,O-IVNH
O-0HW8,O-0HW8
YI-8ZM,YI-8ZM
OU-X3P,OU-X3P
6-4V20,6-4V20
Q-UA3C,Q-UA3C
W-4NUU,W-4NUU
8R-RTB,8R-RTB
6Z9-0M,6Z9-0M
FQ9W-C,FQ9W-C
9-4RP2,9-4RP2
O-BDXB,O-BDXB
G8AD-C,G8AD-C
XZH-4X,XZH-4X
Z-Y7R7,Z-Y7R7
MJYW-3,MJYW-3
PPG-XC,PPG-XC
QA1-BT,QA1-BT
5S-KNL,5S-KNL
00TY-J,00TY-J
XG-D1L,XG-D1L
6RCQ-V,6RCQ-V
28O-JY,28O-JY
CX7-70,CX7-70
6ON-RW,6ON-RW
U65-CN,U65-CN
X-M9ON,X-M9ON
P5-KCC,P5-KCC
Hiroudeh,希罗德
Dresi,德勒斯
Aphend,埃费恩的
Romi,罗密
Zororzih,佐尔茨
Aharalel,艾哈拉勒
Gensela,基恩瑟拉
Ghesis,戈西斯
Gamdis,贾姆迪斯
Joamma,乔亚马
Gonan,果南
Joramok,尤拉默克
Neburab,勒布拉比
Aband,阿班德
Uanim,乌亚尼姆
Murini,穆利尼
Askonak,阿斯科纳克
Nordar,诺尔达
Kador Prime,卡多尔首星
Khafis,卡菲斯
Dantan,丹塔恩
Turba,图尔巴
Sonama,索娜玛
Halibai,哈利拜
Suner,孙尼尔
Inis-Ilix,埃斯-伊利斯
Kothe,科特
Ansasos,安萨索斯
Dehrokh,德洛克
Bordan,波尔丹
Zimmem,茨梅姆
